auta;spnd;numa
Gerolt, Bernhard Franz Joseph von;37407;9/61
Werner, Friedrich Ludwig Zacharias;45706;9/62
Klinger, Friedrich Maximilian von;38656;9/63
Schreibers, Karl Franz Anton von;45222;9/67 9/183 9/428 9/429 9/1183 9/1586
Büsching, Johann Gustav Gottlieb;43299;9/68 9/1125 9/1388
Zahlhas, Johann Baptist von;42845;9/70
Sachsen-Weimar-Eisenach, Maria Paw­low­na Erbgroßherzogin von;40967;9/73 9/113 9/498 9/815 9/1471
Nicht ermittelt (? <zita>K. v. A.</zita>);66967;9/77
Meyer, Johann Heinrich;44570;9/78 9/168 9/173 9/203 9/214 9/225 9/226 9/245 9/251 9/275 9/283 9/292 9/294 9/299 9/304 9/319 9/330 9/340 9/346 9/353 9/362 9/372 9/420 9/427 9/450 9/461 9/475 9/477 9/482 9/512 9/640 9/641 9/690 9/716 9/822 9/833 9/997 9/1005 9/1027 9/1041 9/1056 9/1075 9/1093 9/1122 9/1314 9/1364 9/1375 9/1418 9/1473 9/1539
Müller, Friedrich Theodor Adam Heinrich von;44617;9/80 9/106 9/162 9/208 9/260 9/270 9/462 9/829 9/857 9/975 9/1131 9/1154 9/1293 9/1344 9/1373 9/1448 9/1509 9/1514
Dorow, Karl Friedrich Ferdinand Wilhelm;43499;9/81 9/739 9/802 9/1298
Brühl, Karl Friedrich Moritz Paul Graf von;43274;9/82 9/770 9/790 9/791 9/797 9/837 9/1044
Lavés, Louis Daniel Marie;39035;9/83
Wolzogen, Friederike Sophie Karoline Augusta von;45783;9/87
Schweitzer, Christian Wilhelm;41464;9/90 9/594 9/657 9/823
Henschel, Gebrüder;38006;9/92 9/192 9/1080 9/1171
Voigt, Friedrich Siegmund;42352;9/94 9/505 9/776 9/821 9/1534
Cramer, Christoph Ludwig Wilhelm;43388;9/97 9/519 9/588 9/681 9/1269 9/1475 9/1544
Preusker, Karl Benjamin;44828;9/99
Hufeland, Christoph Wilhelm;38278;9/100 9/1330
Lenz, Johann Georg;39094;9/101 9/120 9/570 9/630 9/653 9/663 9/701 9/1149 9/1179 9/1199 9/1243 9/1289 9/1472 9/1493 9/1504 9/1505 9/1528 9/1555 9/1593 9/1607
Luck, Friedrich Ludwig Wilhelm von;44455;9/102 9/1351
Houwald, Christoph Ernst von;44080;9/105
O'Donell von Tyrconell, Josephine Gräfin;40034;9/109 9/288
Ramann, Gebrüder (Unterzeichner: Johann Christoph Habermann);40507;9/110
Habermann, Johann Christoph (e. 1820);;9/110
Oldendorp, Christian Johann;40069;9/115 9/902
Keil, Johann Georg;44191;9/119
Rennenkampff, Karl Jakob Alexander von;44923;9/123 9/1238 9/1549
Preen, August Klaus von;44826;9/125 9/404 9/646
