auta;spnd;numa
Jena, Redaktion der Isis;50762;9/1026
Ritter, Martin Eduard;51635;9/1028
Bruckmann, Georg Peter;43270;9/1043
Oelsnitz, Karl Eduard von der;49318;9/1072
Körner, Johann Christian Friedrich;44268;9/1086 9/1477 9/1488
Hasenclever, Kornelia Henriette Franziska;43928;9/1102
Klenze, Leo;44227;9/1112
Arnim, Bettina von;43000;9/1114
Jacobi, Johann August;56751;9/1115
Heun, Johann Gottlieb Samuel Karl;44025;9/1117
Rellstab, Heinrich Friedrich Ludwig;51124;9/1118 9/1512
Schilling, Wilhelm Heinrich von;51713;9/1119
Alberti, Johann Karl;46877;9/1127
Meier, Christian Ernst;49237;9/1130
Mendelssohn Bartholdy, Abraham;44541;9/1134
Primavesi, Johann Georg;44845;9/1136 9/1177
Cruickshank, Jakob Ignaz von;36510;9/1142 9/1198
Stapfer, Frédéric Albert Alexandre;51977;9/1147
Lichtenstein, Ludwig August Karl von;50601;9/1152
Seeliger, Christian Ehrenfried;51683;9/1156
Böhme, Johann August;35860;9/1160
Zelter, Dorothea (Doris) Auguste Cäcilie;45814;9/1172 9/1591
Heine, Heinrich;50496;9/1176
Pictet, Adolphe;51424;9/1182
Spangenberg, Johann Christian Jakob;45355;9/1195
Schweigger, Johann Salomo Christoph;41462;9/1201
Manso, Edmund Theodor;47067;9/1205
Henning, Leopold von;43969;9/1213 9/1277 9/1333 9/1356 9/1429 9/1457 9/1480 9/1573
Schlosser, Christian Friedrich;45149;9/1216 9/1415
Neeff, Christian Ernst;39939;9/1217
Goetze, Johann Georg Paul;43791;9/1222 9/1263
Bachmann, Karl Friedrich;35411;9/1224
Harder, Karl von;50557;9/1226
Buchon, Jean Alexandre C.;36140;9/1228
Brandes, Simon Rudolf;36001;9/1232
Genast, Karoline Christine;43722;9/1234
Meyer, Christian Ludwig;39616;9/1237
Chwostow, Dmitrij Iwanowitsch Graf;49296;9/1244
Howard, Luke;38250;9/1246
Harzen, Georg Ernst;50552;9/1248 9/1423
Welz, Anna Katharina;50086;9/1257 9/1259
Bürde, Friedrich Leopold;56691;9/1260
Shukowski, Wassili Andrejewitsch;51781;9/1267
Mendelssohn Bartholdy, Felix;44544;9/1278 9/1342
Schwab, Gustav;45263;9/1281
Tieck, Johann Ludwig;45514;9/1283
Richter, Christian Heinrich;51632;9/1284
Oertel, Eucharius Ferdinand Christian;21394;9/1287
Staff, Karl August Wilhelm Heinrich Hermann von;45382;9/1296
Wilbrand, Johann Bernhard und Ferdinand August Maria Franz Ritgen;;9/1297 9/1383
Ritgen, Ferdinand August Maria Franz;51641;9/1297 9/1383
Knatz, Heinrich Jakob Karl;51138;9/1299
Gersdorff, Ernst Christian August von;43739;9/1301 9/1380
Bethmann, Simon Moritz von;35726;9/1304
Körte, Friedrich Heinrich Wilhelm;44271;9/1309 9/1399
Broesigke, Ulrike Elisabeth von;46929;9/1311
Schelver, Franz Joseph;41114;9/1313
Ruhl, Ludwig Sigismund;44997;9/1328
Budberg, Otto Christoph von;43287;9/1334 9/1353 9/1474
Preller, Ernst Christian Johann Friedrich;5233;9/1336
Hinrichs, Hermann Friedrich Wilhelm;50731;9/1338 9/1401
Kirms, Franz;38597;9/1345
Arnemann, Martin August;45890;9/1347
Sasse, Michael;46646;9/1355
Bowring, John;35981;9/1361
Schütz, Christian Wilhelm von;45240;9/1382 9/1435
Helldorff, Karl Heinrich Anton von;43955;9/1384
Ukert, Friedrich August;45561;9/1389
Kapp, Johann Georg Christian;50961;9/1390
Weyrauch, August Heinrich von;45725;9/1396
Weyrauch, Sophie von;47289;9/1397 9/1443
Schmid, Eduard Oskar;51877;9/1412
John, Johann August Friedrich;44155;9/1417
Hohenzollern-Sigmaringen, Karl Anton Friedrich Meinrad Fidelis Erbprinz von;50735;9/1420
Addicks, Barbara;51557;9/1421
Lobanow-Rostowskij, Alexander Jakowlewitsch Fürst;58411;9/1428
Cotta, Johann Heinrich;43382;9/1434
Lößl, Ignaz;39232;9/1439 9/1556
Rießner, Friedrich Gottlob;51634;9/1446
Meyer, Ernst Heinrich Friedrich;49786;9/1449 9/1490
Arnold, Johann Georg Daniel;35351;9/1452
Güldenapfel, Georg Gottlieb;37695;9/1456
Schütze, Johann Stephan;45243;9/1463
Heusinger, Karl Friedrich;50584;9/1476
Macháček, Simeon Karel;44476;9/1478
Ompteda, Friederike Christiane Elisabeth von;58734;9/1481
Frommann, Johanna Charlotte und Alwina Sophia;;9/1483
Frommann, Alwina (Albina) Sophia;43688;9/1483
Meurer & Baumann;51464;9/1489
Metzlersche Buchhandlung;51437;9/1494
Bothmer, Georg Gottlieb Ernst Karl Graf von;43204;9/1496
Graffunder, Alfred Karl Ludwig Eberhard Jobst;50178;9/1499
Loos, Gottfried Bernhard;44443;9/1500 9/1590
Stock, Esther Maria Margarete;45425;9/1501
Berzelius, Jöns Jacob von;43120;9/1502
Goebel, Karl Christoph Traugott Friedemann;43765;9/1503
Soret, Frédéric Jacob;46734;9/1506 9/1518 9/1521 9/1531 9/1589
Jena, Deputation der Universität zu Anordnung der Lenzischen Jubelfeier (Unterzeichner: Johann Traugott Leberecht Danz, Karl Wilhelm Stark und Wilhelm Karl Friedrich Succow);50940;9/1507
Danz, Johann Traugott Leberecht;36557;9/1507
Stark, Karl Wilhelm;41712;9/1507
Succow, Wilhelm Karl Friedrich;41899;9/1507
Bernstorff, Auguste Luise Gräfin von;48315;9/1510
Heidelberg, Friedrich Wilhelm Gerhard;50587;9/1516 9/1546
Heinroth, Johann Christian August;50702;9/1523
Harnier, Kaspar Ludwig Simon Eduard;50556;9/1527
Platzmann (C. Platzmann Söhne);51553;9/1529
Rückert, Johann Michael Friedrich;44993;9/1535
Schmidt, Christian Friedrich;45171;9/1538
Andreä, Gebrüder;46880;9/1545
Schaller, Gottlob Ferdinand;51816;9/1550
Wagener, Julius Christian;47221;9/1551
Waagen, Gustav Friedrich;42393;9/1571
Verlohren, Heinrich Ludwig;42281;9/1575
Wolf, Friedrich August;45771;9/1577
Max, Joseph Elias;44514;9/1578
Schumann, Johann Christoph Wilhelm;45258;9/1581
Fikentscher, Georg Friedrich Christian;50310;9/1587
Natterer, Joseph;50378;9/1588
Mayer, Johann Friedrich;51354;9/1595
Langheinrich, Johann Gottlieb;51271;9/1603
