Spruch;Sprücheklopfer;ID
Mehr Licht;Goethe;a-0001
Wer wagt es, Rittersmann oder Knapp, Zu tauchen in diesen Schlund;Schiller;a-0002
"eins, zwei drei im Sauseschritt; Läuft die Zeit wir laufen mit";Busch;a-0003
Nach dem Spiel ist vor dem Spiel;Herberger;a-0004
Die grössten Kritiker der Elche waren früher selber welche;Gernhard;a-0005
Es gibt kein wahres Leben im Falschen;Adorno;a-0006
